musicId,fileName,title,artist,album,duration,chorus_start_time,chorus_end_time,audspec_lengthL1norm_sma_meanSegLen,audspec_lengthL1norm_sma_stddev,audspec_lengthL1norm_sma_skewness,audspec_lengthL1norm_sma_kurtosis,audspec_lengthL1norm_sma_maxSegLen,audspecRasta_lengthL1norm_sma_meanSegLen,audspecRasta_lengthL1norm_sma_stddev,audspecRasta_lengthL1norm_sma_skewness,audspecRasta_lengthL1norm_sma_kurtosis,audspecRasta_lengthL1norm_sma_maxSegLen,pcm_RMSenergy_sma_meanSegLen,pcm_RMSenergy_sma_stddev,pcm_RMSenergy_sma_skewness,pcm_RMSenergy_sma_kurtosis,pcm_RMSenergy_sma_maxSegLen,pcm_zcr_sma_meanSegLen,pcm_zcr_sma_stddev,pcm_zcr_sma_skewness,pcm_zcr_sma_kurtosis,pcm_zcr_sma_maxSegLen,audspec_lengthL1norm_sma_de_meanSegLen,audspec_lengthL1norm_sma_de_stddev,audspec_lengthL1norm_sma_de_skewness,audspec_lengthL1norm_sma_de_kurtosis,audspec_lengthL1norm_sma_de_maxSegLen,audspecRasta_lengthL1norm_sma_de_meanSegLen,audspecRasta_lengthL1norm_sma_de_stddev,audspecRasta_lengthL1norm_sma_de_skewness,audspecRasta_lengthL1norm_sma_de_kurtosis,audspecRasta_lengthL1norm_sma_de_maxSegLen,audSpec_Rfilt_sma[0]_meanSegLen,audSpec_Rfilt_sma[0]_stddev,audSpec_Rfilt_sma[1]_meanSegLen,audSpec_Rfilt_sma[1]_stddev,audSpec_Rfilt_sma[2]_meanSegLen,pcm_RMSenergy_sma_risetime,pcm_zcr_sma_risetime,audspec_lengthL1norm_sma_risetime,audspecRasta_lengthL1norm_sma_risetime,Arousal(mean),Valence(mean)
23,23.mp3,How Far I'll Go(Alessia Cara Version),Alessia Cara,Moana (Original Motion Picture Soundtrack),28.09,02:19,02:45,0.5424,1.069666,-0.8184872,4.004087,1.49,0.33,1.605425,15.73246,284.0873,0.33,0.7633333000000001,0.07962086,-0.1705038999999999,3.5651870000000003,2.05,1.64,0.03853295,7.193825,111.6326,2.56,1.113333,0.1483207,0.3932275,6.652143,3.61,0.35,0.3232059,14.46574,426.4586,0.35,0.31,0.6514196,0.3,1.154497,0.3,0.4634932,0.5,0.4910522,0.4470293999999999,0.625,0.675
25,25.mp3,Scars To Your Beautiful,Alessia Cara,Know-It-All (Deluxe),42.13,02:57,03:37,0.8712766,0.9288631,-0.8974059000000001,5.192806,4.19,0.0,2.864015,20.50451,458.7469,0.0,1.401333,0.0648657,-0.01569382,4.80794,20.75,4.895,0.03674895,4.153691,60.34772,7.26,1.106579,0.1571779,0.3870376,5.460565,3.52,0.45,0.5706264,15.93786,582.6715,0.45,0.0,0.4828132,0.0,1.187948,0.0,0.4800954,0.4796185999999999,0.4872467,0.457211,0.761363636364,0.784090909091
26,26.mp3,Wild Things(NuKid Remix),Alessia Cara,Wild Things (The Remixes),18.09,03:54,04:10,0.358,1.482977,0.1763988,2.618576,0.9899999,0.18,6.785597999999999,15.33629,256.4312,0.18,0.2896774,0.1141533999999999,-0.7020864,2.7009380000000003,0.87,0.0,0.05732236,5.222097,63.51693,0.0,0.2986667,0.3298844,0.9539165,4.581891000000001,1.21,0.19,1.58272,6.094572,220.6642,0.19,0.2,3.006892,0.2,3.232986,0.2,0.4796884,0.4379520999999999,0.4028936999999999,0.4340568,0.825,0.7625
28,28.mp3,Not Easy,Alex Da Kid,Not Easy,49.14,03:13,04:00,0.786129,0.9350444,-0.9016440999999998,4.912148,1.96,1.160714,0.234057,3.956879,33.63937,2.87,0.7653333000000001,0.08381087,-0.8988079,6.396903,1.62,3.488,0.02311319,7.359681,92.10924,13.88,2.11913,0.1412659,0.4695319999999999,5.202218,5.43,0.55,0.04670632,0.9314771,19.95043,0.7,3.77,0.08626085,3.77,0.0929408,0.6921126,0.4984677999999999,0.4847804,0.4749744999999999,0.4625127999999999,0.4875,0.575
29,29.mp3,Down That Road (The Voice Performance),Alisan Porter,The Complete Season 10 Collection (The Voice Performance),41.13,03:02,03:41,0.7041509,1.052172,-1.061149,4.561217,4.36,0.43,1.475898,16.9216,315.7753,0.43,0.8676596,0.06165812,-0.4039935,4.5227900000000005,5.58,14.69,0.02873578,9.521235,201.8096,22.7,2.0375,0.1315135,0.5497375,7.231812,4.82,0.0,0.2489819,20.92843,676.9698,0.0,0.0,0.4403472,0.0,1.087999,0.0,0.4822955,0.4881563,0.4735043,0.4253967999999999,0.7,0.675
30,30.mp3,Somewhere (The Voice Performance),Alisan Porter,The Complete Season 10 Collection (The Voice Performance),52.16,01:53,02:43,1.022157,1.0080049999999998,-1.256508,5.331346,5.46,0.0,3.749209,25.64493,728.4138,0.0,1.854,0.07193465,-0.4084924,3.52645,11.2,38.19,0.0335907,11.57756,229.7084,38.19,2.338,0.1007041,0.4813532999999999,7.291776,6.75,0.0,0.8757436,17.65728,817.8404,0.0,0.55,0.4043897,0.0,1.422747,0.0,0.4889317,0.4702599,0.4972089,0.4708373999999999,0.6125,0.5375
31,31.mp3,Caroline,Amine,Caroline,18.09,02:55,03:11,0.4326829,1.863574,1.476926,6.774264,2.16,2.305714,1.440943,6.027979,56.20478000000001,4.14,0.3891304,0.1721701,1.7816880000000002,5.638449,1.43,0.3689362,0.07578442,1.468138,4.757527,0.9899999,1.79,0.3971822,2.018676,22.39997,4.11,5.376666999999999,0.3844548,2.361851,56.40483,7.99,1.88,0.2545877,0.5693548,0.3140143,1.19,0.3839732999999999,0.5275459,0.4079021,0.4028936999999999,0.625,0.4375
32,32.mp3,Rise Up,Andra Day,Rise Up,35.11,03:17,03:50,0.9382353,1.427729,-0.6302165,3.124843,4.61,0.34,1.469523,13.8171,214.8498,0.34,0.6488888,0.08126169,-1.196098,3.79365,3.02,4.83,0.03405058,5.694503,83.28439,7.34,1.9925,0.1404138999999999,0.6210983,10.42367,8.179999,0.41,0.2027,10.78505,343.961,0.41,1.96,0.1403832,0.37,0.5725041999999999,0.38,0.4792560999999999,0.4858369,0.4792560999999999,0.4540772,0.575,0.3875
33,33.mp3,Fresh Eyes,Andy Grammer,Fresh Eyes,33.12,02:30,03:01,0.7418180999999999,1.174208,-0.1380465,3.19976,1.23,0.35,0.8155886,13.664979999999998,252.2359,0.35,0.607963,0.1168553,0.2830406,3.94366,1.93,6.57,0.0373096,4.810023,53.62416,13.11,0.6405881999999999,0.21175,1.473856,8.518972999999999,1.44,0.36,0.178787,12.93332,377.8471,0.36,1.34,0.1561471,1.23,0.3830093,1.23,0.4283981,0.4927185,0.4141382999999999,0.3956310999999999,0.6375,0.75
34,34.mp3,It's the Most Wonderful Time of the Year,Andy Williams,Five Songs Of Christmas - Classic,36.13,01:53,02:27,0.9492105,0.8613299999999999,-0.7623656,4.074143,5.59,0.35,4.73454,21.15381,492.5754,0.35,0.6206896,0.03735537,-0.9684046,3.627002,2.87,2.83,0.03798518,9.632205,176.86900000000003,2.83,1.637727,0.1072272,0.6382074999999999,5.851375,6.28,0.37,1.090003,14.96234,560.7272,0.37,0.0,0.8915728,0.0,1.560802,0.0,0.4780312,0.4710789999999999,0.4780312,0.4313126,0.6875,0.8375
35,35.mp3,True Colors,Anna Kendrick,True Colors,52.16,03:01,03:51,1.522759,1.255895,0.1532207,2.880182,13.67,0.0,4.76436,25.94958,749.2092,0.0,0.8584745999999999,0.06312428,-1.209664,4.398291,2.52,3.91,0.03655183,8.781655,150.9324,4.01,1.795909,0.1004785,-0.0294848999999999,9.732428,6.13,0.0,1.139636,17.8704,843.6443,0.0,0.0,1.347789,0.0,2.768612,0.0,0.4739172,0.4948989,0.4981713,0.4723773,0.3375,0.625
37,37.mp3,Alarm,Anne-Marie,Alarm,44.14,02:41,03:23,0.6720311999999999,1.267493,-0.916297,3.850959,1.64,2.991,0.4024587999999999,5.228273000000001,46.91606,6.73,0.6747692,0.09629995,-1.513774,5.005624,1.61,1.546428,0.04249064,4.15494,28.12697,5.52,0.7251666999999999,0.250224,1.080073,7.021986999999999,1.99,14.955,0.08942802,3.07252,53.76596,26.23,7.69,0.1221997,10.25333,0.1895211,7.69,0.4915832999999999,0.4563239,0.4342584,0.4231119,0.8,0.75
38,38.mp3,Ciao Adios,Anne-Marie,Ciao Adios,39.12,02:41,03:18,0.5741177,1.470386,-0.6865331,3.818444,1.14,1.446667,0.3150226,3.941312,32.08318,4.53,0.5031167999999999,0.0935821,-0.8767497999999999,3.866152,1.41,0.5473239000000001,0.03899643,1.5684790000000002,7.5802,1.14,0.6076562,0.2797292,1.365805,6.607660000000001,1.5,0.5921211999999999,0.06807526,2.012872,16.11694,1.41,0.6572880999999999,0.07049737,0.5662318000000001,0.149526,0.5492958,0.4165383,0.472265,0.4453005,0.4409348,0.8875,0.8375
39,39.mp3,Thief,Ansel Elgort,Thief,44.14,02:51,03:33,0.665,1.285951,-1.044935,4.626905000000001,1.54,0.0,1.916476,20.28167,467.4221,0.0,0.5401234,0.07859566,-1.590159,6.677851,1.26,5.797143,0.04415021,3.3408,39.13088,11.49,0.8158491,0.2735116,0.7454525,5.289989,2.24,0.43,0.394601,18.53154,692.8599,0.43,0.0,0.3760595999999999,0.0,1.001796,0.0,0.4717925,0.4818015999999999,0.4365332,0.4201547,0.875,0.590909090909
40,40.mp3,Beauty and the Beast,Ariana Grande,"Beauty and the Beast (From ""Beauty and the Beast"")",37.13,02:35,03:10,1.182903,1.033085,-0.04129593,2.674004,3.9,0.44,0.855133,13.8026,229.2451,0.44,0.7333999,0.06382801,0.5319826999999999,4.230551,1.48,2.114118,0.04045156,3.250286,23.93577,9.36,1.3311110000000002,0.1365311,2.000093,13.33145,4.19,2.24625,0.1433732999999999,17.339979999999997,497.6332,5.75,16.88,0.1423859999999999,0.4,0.236815,0.41,0.4353354999999999,0.4748377,0.4393939,0.4104436999999999,0.375,0.6625
42,42.mp3,Dangerous Woman,Ariana Grande,KISS Kesähitti,47.15,02:40,03:25,1.1655,1.078871,-1.055239,5.033165,2.69,0.56,0.5393218000000001,14.19029,257.4488,0.56,1.617143,0.07623371,-0.6832267,5.848907,2.7,4.66,0.03117915,2.666105,26.692970000000003,8.23,0.6460274,0.1685176,1.671156,9.910469,1.41,0.7415873000000001,0.09584597,16.509729999999998,523.8358,1.6,2.455,0.1240563,2.31,0.2044045,1.23,0.5285349,0.4099233,0.4612436,0.4239779,0.7625,0.6
43,43.mp3,One Last Time,Ariana Grande,My Everything (Deluxe),40.14,02:34,03:12,0.6950877,1.423489,-1.21172,4.151054,2.47,0.58,0.4340843,11.12359,162.7598,0.58,0.5427397,0.09898877,-0.7828251,3.648239,2.68,2.644667,0.04269685,3.563743,23.09817,11.59,1.05,0.151792,0.5410577,5.342793,3.29,0.9542857,0.0663748999999999,11.55821,291.9038,3.34,1.6,0.06616179,0.45,0.1832994999999999,19.25,0.4812311999999999,0.5022523,0.4827327,0.4496997,0.8625,0.7875
44,44.mp3,Forever Country,Artists Of Then,Forever Country,60.17,02:49,03:47,0.9156923,1.3132,-1.470734,4.978957,5.95,0.0,0.9430751,21.8302,542.9409,0.0,0.9469355,0.07648701,-0.4017065999999999,4.344061,2.92,8.115,0.02052722,8.867196,224.9245,12.29,0.9720689,0.1125442,1.2844870000000002,8.092846,2.22,29.37,0.1790703,24.29789,1003.146,58.08,0.0,0.2621381,0.0,0.4421656,0.0,0.4587920999999999,0.4718050999999999,0.4641308,0.4399399,0.6875,0.675
46,46.mp3,Rolex,Ayo & Teo,Rolex,45.14,02:38,03:21,0.8353704,1.581167,0.1503936,3.988002,1.79,0.0,1.38362,17.954060000000002,397.9786,0.0,0.6098649,0.1225233,-0.4568258,3.1462830000000004,1.24,2.438333,0.0536595,3.369517,21.88032,13.24,0.7136508,0.4058245,1.041364,6.023523,1.6,0.48,0.295625,15.59387,544.5994,0.48,2.423333,0.4025594,2.421667,0.4413694,0.0,0.4496107,0.4622914000000001,0.4173525999999999,0.3908788,0.8375,0.575
47,47.mp3,Suga Suga,Baby Bash,Now That's What I Call Music! Vol. 14,36.13,02:49,03:23,0.6435714,1.4080469999999998,0.6721556,3.776513,1.46,2.003333,0.6078169,4.52387,37.10883,15.63,0.5371642,0.1002946,1.242107,5.013146,1.44,0.7183999,0.04346771,1.980911,7.615531,2.17,0.7359183000000001,0.2848587,2.0394080000000003,12.91188,2.27,7.212000000000001,0.1478875,1.648787,25.47878,26.16,1.2625,0.09602591,1.907647,0.1055953999999999,0.875,0.4368742999999999,0.4635706,0.4135149999999999,0.4157397,0.4,0.4625
48,48.mp3,Do They Know It's Christmas?,Band Aid 20,Do They Know Its Christmas?,33.12,03:06,03:37,0.6409804,1.206258,-1.368384,5.160026,1.98,0.43,0.9597521,14.0788,229.3987,0.43,0.7665116,0.06492461,-0.6754180999999999,4.398249,2.41,3.514286,0.03501979,4.022488,40.67573,9.2,0.4055555999999999,0.1192355,0.9255491,5.447046,1.34,0.33,0.1668246,17.60519,536.3385,0.33,0.4,0.2172795,0.33,0.5254095,0.37,0.4860436999999999,0.4936287,0.4720874,0.4396238,0.725,0.8375
49,49.mp3,Good Grief,Bastille,Good Grief,34.12,02:53,03:25,0.6928571,1.220855,-0.7400513000000001,4.479863,2.16,0.36,4.89079,19.34264,407.1423,0.36,0.6283333000000001,0.08163626,-0.2767042999999999,3.911721,1.29,11.17,0.04421021,6.939214999999999,108.8828,11.17,0.4512,0.1942933,0.7757897,4.968006,1.2,0.4,1.044824,16.25004,537.6682,0.4,0.36,1.364199,0.36,2.441801,0.36,0.4845360999999999,0.4865979,0.4592047,0.4365242999999999,0.7875,0.7125
50,50.mp3,Fight For Your Right,Beastie Boys,Anthology:  The Sounds Of Science,33.12,02:44,03:15,0.6077359,1.217457,-0.769502,4.239738,1.23,0.34,2.616673,18.62588,388.8817,0.34,2.028125,0.0573865999999999,-0.2730499,3.954881,11.9,0.0,0.02907985,10.67633,246.0606,0.0,0.3632967,0.1635001,2.252084,11.08586,0.59,0.35,0.5624176,15.34955,515.0242,0.35,1.02,0.1354597,1.45,0.2831629,1.465,0.4526699,0.4587379,0.4174757,0.4159587,0.8375,0.5875
51,51.mp3,I Got You,Bebe Rexha,I Got You,21.08,02:26,02:45,0.4546667,1.2881790000000002,-0.8626994,3.810907,0.8,0.21,4.057723999999999,15.60929,274.4187,0.21,0.5865714,0.1085558,0.1332951,3.510118,1.07,3.5860000000000003,0.05475644,3.970314,41.88253,9.809999,0.2756579,0.241553,1.34921,6.455426,0.89,0.2,0.9288803,11.58493,336.8122,0.2,0.21,1.381944,0.21,1.757597,0.21,0.5114613,0.5090736,0.4360076,0.4149952,0.825,0.7625
52,52.mp3,Might Not,Belly,Up For Days,31.1,02:36,03:05,0.657234,1.343376,0.4948212,3.371349,2.45,3.2775,0.5541688,4.822399,47.82168,5.38,0.8394444,0.1443301,0.19036,2.349444,3.04,0.8757895,0.05900575,2.702887,12.86462,2.71,0.4887301999999999,0.2632587999999999,1.4542389999999998,8.891498,1.44,2.549091,0.1160341999999999,3.519619,55.47076,4.46,18.14,0.2102208,9.07,0.254051,0.31,0.4523425,0.4639741,0.4297253,0.4122779,0.5875,0.4625
54,54.mp3,Brand New,Ben Rector,Brand New,29.11,03:05,03:32,0.4235294,1.356649,-1.262584,4.414333999999999,1.67,0.33,2.084948,17.02182,328.7676,0.33,0.5359259,0.08243189,-0.719152,3.431875,1.45,2.055,0.03506119,5.312044,81.98689,4.4,0.8268571,0.1928428999999999,1.105695,6.005153,2.14,0.34,0.4401388,15.11581,469.7617,0.34,0.3,0.732294,0.29,2.048321,0.3,0.4640884,0.4989640999999999,0.4485497,0.4209254,0.875,0.775
